Log-File for Air-Tracker. Created: 2022-09-18T15:08:12.137764

[src.measurments_thread] Queue started -- 2022-09-18T15:08:12.138772
[src.measurments_thread] Queue started -- 2022-09-18T15:08:12.751322
[src.measurments_thread] Queue started -- 2022-09-18T15:15:54.930356
[src.measurments_thread] Queue started -- 2022-09-18T15:15:55.515319
[src.measurments_thread] Queue started -- 2022-09-18T15:17:26.212506
[src.measurments_thread] Queue started -- 2022-09-18T15:17:26.810854
[src.measurments_thread] Queue started -- 2022-09-18T15:28:15.094421
[src.measurments_thread] Queue started -- 2022-09-18T15:28:15.661818
[src.measurments_thread] Queue started -- 2022-09-18T15:30:51.868659
[src.measurments_thread] Queue started -- 2022-09-18T15:30:52.445335
[src.measurments_thread] Queue started -- 2022-09-18T15:32:32.032134
[src.measurments_thread] Queue started -- 2022-09-18T15:32:32.613408
[src.measurments_thread] Queue started -- 2022-09-18T15:33:36.082445
[src.measurments_thread] Queue started -- 2022-09-18T15:34:46.701809
